date_key,Avg Prev 2M,Avg Prev 1M,Avg Current M,Forecast Step 3
31 Mar 2025,83741.84215056468,86889.84589427148,94696.63775605196,71916.54286063791
30 Mar 2025,83741.84215056432,86889.84589427093,94696.63775605182,180006.68624949988
29 Mar 2025,83741.84215056477,86889.84589427144,94696.63775605203,155507.8385449348
28 Mar 2025,83741.84215056457,86889.84589427119,94696.63775605184,125435.23850300859
27 Mar 2025,83741.84215056465,86889.84589427107,94696.63775605179,110374.31058508251
26 Mar 2025,83741.84215056467,86889.84589427145,94696.63775605203,110093.66952292241
25 Mar 2025,83741.84215056476,86889.84589427119,94696.6377560518,118889.12458770012
24 Mar 2025,83741.84215056448,86889.84589427132,94696.63775605161,125978.51447288165
23 Mar 2025,83741.84215056436,86889.84589427125,94696.6377560521,138883.1414891308
22 Mar 2025,83741.84215056457,86889.84589427148,94696.63775605167,116014.06253773608
21 Mar 2025,83741.84215056435,86889.84589427111,94696.63775605176,94470.80359704822
20 Mar 2025,83741.84215056448,86889.84589427093,94696.63775605163,120683.52817557513
19 Mar 2025,83741.84215056419,86889.84589427144,94696.63775605164,120311.5905279004
18 Mar 2025,83741.84215056412,86889.84589427122,94696.63775605225,130192.74564248454
17 Mar 2025,83741.8421505644,86889.84589427111,94696.63775605147,142198.40097919828
16 Mar 2025,83741.84215056445,86889.84589427104,94696.63775605193,138258.95513640466
15 Mar 2025,83741.84215056468,86889.84589427142,94696.63775605205,115612.80605192258
14 Mar 2025,83741.84215056442,86889.84589427109,94696.63775605202,97946.82174543287
13 Mar 2025,83741.84215056429,86889.8458942712,94696.63775605166,112439.7375767655
12 Mar 2025,83741.84215056495,86889.84589427133,94696.63775605168,112636.21402937933
11 Mar 2025,83741.84215056484,86889.84589427104,94696.63775605129,121210.37505725404
10 Mar 2025,83741.84215056445,86889.84589427101,94696.63775605179,129569.67064804414
9 Mar 2025,83741.84215056463,86889.84589427101,94696.63775605173,138293.15128824607
8 Mar 2025,83741.84215056468,86889.84589427158,94696.63775605205,116262.76254607973